utt_keys,utterance,emotion,v,a,d,emo_evo,start,end
Ses01M_impro07_M015,,xxx,3,3.5,3.5,"[['exc'], ['hap'], ['neu'], ['sur', 'neu']]",115.61,125.3625
Ses01M_impro07_F019,,xxx,4,3,3,"[['exc'], ['hap'], ['sur'], ['neu', 'hap']]",116.5,119.025
Ses01M_impro07_F020,,neu,3,2.5,2.5,"[['exc'], ['neu'], ['neu'], ['neu']]",121.15,125.25
Ses01M_impro07_F021,,exc,3.5,3,2.5,"[['exc'], ['exc'], ['sur'], ['sur', 'hap']]",125.31,132.5725
Ses01M_impro07_M016,,xxx,3.5,3.5,2.5,"[['exc'], ['hap'], ['neu'], ['neu']]",127.52,131.39
Ses01M_impro07_M017,,hap,4,3.5,2.5,"[['exc'], ['hap'], ['hap'], ['hap']]",131.95,134.62
Ses01M_impro07_F022,,exc,4,3.5,3.5,"[['exc'], ['exc'], ['sur'], ['exc', 'sur', 'hap']]",132.86,138.12
Ses01M_impro07_M018,,exc,3.5,3.5,3,"[['exc'], ['hap'], ['exc'], ['hap']]",135.305,141.01
Ses01M_impro07_F023,,exc,4,3,2.5,"[['exc'], ['sur'], ['exc'], ['hap']]",139.07,141.8
Ses01M_impro07_M019,,hap,3.5,2.5,2.5,"[['exc'], ['hap'], ['hap'], ['sur']]",141.34,142.68
Ses01M_impro07_F024,,exc,3.5,3,2.5,"[['exc'], ['exc'], ['hap'], ['hap']]",141.99,144.485
Ses01M_impro07_M020,,neu,3.5,2.5,2.5,"[['exc'], ['neu'], ['neu'], ['neu']]",143.98,147.84
Ses01M_impro07_F025,,exc,4,3.5,2.5,"[['exc'], ['exc'], ['hap'], ['neu', 'hap']]",144.66,148.265
Ses01M_impro07_M021,,sur,2.5,3,2.5,"[['exc'], ['sur'], ['sur'], ['sur']]",147.91,150.1225
Ses01M_impro07_F026,,exc,4,4,3.5,"[['exc'], ['sur'], ['exc'], ['exc', 'hap']]",149.71,154.92
Ses01M_impro07_M022,,sur,3,4,3.5,"[['exc'], ['sur'], ['fru', 'sur'], ['sur']]",150.7925,153.8
Ses01M_impro07_M023,,xxx,2.5,4,3.5,"[['exc'], ['ang'], ['fru'], ['oth']]",153.86,159.14
Ses01M_impro07_F027,,exc,4.5,4,3,"[['exc'], ['sur'], ['exc'], ['hap']]",156.18,167.8
Ses01M_impro07_M024,,exc,4,3,3,"[['exc'], ['exc'], ['exc'], ['hap']]",165.1825,169.6425
Ses01M_impro07_M025,,xxx,3,2.5,2.5,"[['exc'], ['hap'], ['neu'], ['neu']]",169.7275,172.34
Ses01M_impro07_F028,,xxx,3,2.5,2.5,"[['exc'], ['hap'], ['neu'], ['neu', 'hap']]",171.73,174.2
Ses01M_impro07_M026,,neu,2.5,3,2.5,"[['exc'], ['neu'], ['neu'], ['neu']]",172.46,175.3625
Ses01M_impro07_F029,,xxx,3,3,2.5,"[['exc'], ['hap'], ['sur'], ['neu']]",174.93,180.91
Ses01M_impro07_M027,,xxx,3,2.5,1.5,"[['exc'], ['hap'], ['neu'], ['neu']]",177.26,178.75
Ses01M_impro07_M028,,xxx,3,2.5,2.5,"[['exc'], ['hap'], ['neu'], ['neu']]",179.94,185.3475
Ses01M_impro07_F030,,xxx,3.5,2.5,2.5,"[['exc'], ['sur'], ['neu'], ['neu', 'hap']]",183.02,184.72
Ses01M_impro07_F031,,xxx,3,2.5,3,"[['exc'], ['hap'], ['sur'], ['neu']]",185.4225,188.8425
Ses01M_impro07_M029,,xxx,3.5,3,2,"[['exc'], ['hap'], ['neu'], ['neu']]",185.78,191.52
Ses01M_impro07_F032,,xxx,3,2.5,2,"[['exc'], ['hap'], ['neu'], ['neu']]",191.05,192.2475
Ses01M_impro07_M030,,neu,3,2.5,1.5,"[['exc'], ['neu'], ['neu'], ['neu']]",192.22,194.25
Ses01M_impro07_F033,,hap,3,3,3,"[['hap'], ['hap'], ['hap'], ['neu', 'hap']]",192.7,195.05
Ses01M_impro07_M031,,xxx,3,2,1.5,"[['exc'], ['hap'], ['neu'], ['neu']]",194.77,196.02
Ses01M_impro07_F034,,hap,4,3.5,3.5,"[['hap'], ['exc'], ['hap'], ['hap']]",195.17,205.4775
Ses01M_impro07_M032,,hap,4,3,2.5,"[['exc'], ['hap'], ['hap'], ['hap']]",196.38,199.86
Ses01M_impro07_M033,,hap,3.5,2.5,1.5,"[['exc'], ['hap'], ['hap'], ['hap']]",204.81,206.6
Ses01F_impro01_F000,,neu,2.5,2.5,2.5,"[['neu'], ['neu'], ['neu'], ['neu']]",6.2901,8.2357
Ses01F_impro01_M000,,fru,2.5,2,2.5,"[['fru'], ['neu', 'oth'], ['fru'], ['fru']]",7.5712,10.475
Ses01F_impro01_F001,,neu,2.5,2.5,2.5,"[['neu'], ['neu'], ['neu'], ['neu', 'ang']]",10.01,11.3925
Ses01F_impro01_M001,,fru,2.5,2,2.5,"[['fru'], ['oth'], ['fru'], ['fru']]",10.9266,14.6649
Ses01F_impro01_F002,,neu,2.5,2.5,2.5,"[['neu'], ['sur'], ['neu'], ['neu', 'ang']]",14.8872,18.0175
Ses01F_impro01_M002,,fru,2,3.5,3.5,"[['ang'], ['fru'], ['fru'], ['fru', 'ang']]",16.8352,19.7175
Ses01F_impro01_F003,,xxx,2.5,3,3,"[['neu'], ['fru'], ['ang'], ['fru', 'ang']]",19.29,20.7875
Ses01F_impro01_F004,,xxx,2.5,3,2.5,"[['neu'], ['fru', 'dis'], ['ang'], ['fru', 'ang']]",21.3257,24.74
Ses01F_impro01_M003,,fru,2.5,3.5,3.5,"[['fru'], ['fru'], ['fru'], ['fru', 'ang']]",23.47,28.03
Ses01F_impro01_F005,,neu,2.5,3.5,2,"[['neu'], ['fru', 'ang'], ['neu'], ['neu']]",27.46,31.49
Ses01F_impro01_M004,,fru,2,4,3.5,"[['fru'], ['fru', 'ang'], ['fru'], ['ang']]",28.395,31.2117
Ses01F_impro01_M005,,fru,2,3.5,3.5,"[['fru'], ['fru', 'dis', 'ang'], ['fru'], ['ang']]",31.266,39.3875
Ses01F_impro01_F006,,fru,2,3.5,3.5,"[['neu'], ['fru', 'ang'], ['fru'], ['fru', 'oth']]",38.965,43.59
Ses01F_impro01_M006,,fru,2,3.5,3.5,"[['fru'], ['fru'], ['fru'], ['fru']]",41.23,46.98
Ses01F_impro01_F007,,fru,2.5,3.5,3.5,"[['fru'], ['fru', 'dis', 'ang'], ['fru'], ['fru', 'ang']]",46.58,52.19
Ses01F_impro01_M007,,fru,2.5,3.5,3,"[['fru'], ['fru'], ['fru'], ['ang']]",51.4,57.64
Ses01F_impro01_F008,,fru,2,3.5,3.5,"[['fru'], ['ang'], ['fru'], ['fru', 'ang']]",56.16,58.8225
Ses01F_impro01_M008,,fru,2,3.5,3.5,"[['fru'], ['fru', 'dis'], ['fru'], ['fru', 'ang']]",58.18,62.59
Ses01F_impro01_F009,,fru,2,3.5,3,"[['fru'], ['fru', 'dis', 'ang'], ['fru'], ['fru', 'ang']]",61.87,65.97
Ses01F_impro01_M009,,fru,2.5,3.5,4,"[['fru'], ['fru', 'dis'], ['neu'], ['fru']]",65.51,73
Ses01F_impro01_F010,,xxx,1.5,3.5,3.5,"[['fru'], ['fru', 'sur', 'dis', 'ang'], ['ang'], ['fru', 'ang']]",66.42,69.34
Ses01F_impro01_F011,,fru,2,3.5,3.5,"[['fru'], ['fru', 'ang'], ['fru'], ['fru', 'ang']]",72.45,82.26
Ses01F_impro01_M010,,fru,2,4.5,4,"[['fru'], ['fru', 'dis', 'ang'], ['fru'], ['ang']]",81.59,86.03
Ses01F_impro01_F012,,ang,2,3.5,3.5,"[['ang'], ['dis'], ['ang'], ['fru', 'sur', 'ang']]",85.27,88.02
Ses01F_impro01_M011,,ang,2,4,4,"[['ang'], ['dis', 'ang'], ['fru'], ['fru', 'ang']]",87.15,94.39
Ses01F_impro01_F013,,fru,2,4,3.5,"[['fru'], ['fru', 'sur'], ['fru'], ['exc', 'fru', 'ang']]",93.67,97.0218
Ses01F_impro01_M012,,xxx,3,1.5,2,"[['fru'], ['sad', 'dis'], ['neu'], ['fru']]",95.86,98.68
Ses01F_impro01_F014,,neu,2.5,3.5,3.5,"[['neu'], ['dis'], ['neu'], ['fru', 'dis', 'ang']]",97.89,102.96
Ses01F_impro01_M013,,ang,2,4.5,4.5,"[['ang'], ['fru', 'ang'], ['ang'], ['ang']]",101.84,107.87
Ses01F_impro01_F015,,fru,2,3.5,3,"[['fru'], ['fru'], ['fru'], ['fru', 'dis']]",103.97,106.71
Ses01M_script01_3_F000,,neu,4,2,2.5,"[['hap'], ['neu'], ['neu']]",8.2904,11.9425
Ses01M_script01_3_M000,,hap,4,2,1.5,"[['hap'], ['hap'], ['neu']]",11.86,15.1286
Ses01M_script01_3_F001,,neu,4,2,2.5,"[['hap'], ['neu'], ['neu']]",14.5812,20.04
Ses01M_script01_3_F002,,xxx,4,2,2,"[['oth'], ['hap'], ['neu']]",20.7769,27.6
Ses01M_script01_3_M001,,hap,3.5,3,1.5,"[['hap'], ['hap'], ['neu']]",28.1,30.585
Ses01M_script01_3_F003,,sad,4,1.5,2.5,"[['sad'], ['sad', 'hap'], ['neu']]",30.15,38.2445
Ses01M_script01_3_M002,,sad,2.5,3,1.5,"[['sad'], ['neu'], ['sad']]",38.46,41.3299
Ses01M_script01_3_F004,,neu,3.5,2,2.5,"[['sad'], ['neu'], ['neu']]",40.81,44.5425
Ses01M_script01_3_M003,,xxx,4,2,2,"[['sad'], ['hap'], ['neu']]",44.17,46.065
Ses01M_script01_3_F005,,sad,3.5,2,2,"[['sad'], ['sad'], ['neu']]",45.75,51.2332
Ses01M_script01_3_M004,,neu,3.5,2,1.5,"[['sad'], ['neu'], ['neu']]",51.059,53.27
Ses01M_script01_3_F006,,sad,3,2,2,"[['sad'], ['sad'], ['sad']]",53.77,59.22
Ses01M_script01_3_M005,,xxx,4,2.5,1.5,"[['sad'], ['hap'], ['neu']]",63.71,77.5575
Ses01M_script01_3_F007,,xxx,3.5,2,2.5,"[['sad'], ['hap'], ['neu']]",76.82,80.32
Ses01M_script01_3_M006,,neu,4,3,2,"[['sad'], ['neu'], ['neu']]",79.41,81.1172
Ses01M_script01_3_F008,,neu,3.5,2,2.5,"[['sad'], ['neu'], ['neu']]",80.64,85.28
Ses01M_script01_3_M007,,neu,3.5,2,1.5,"[['sad'], ['neu'], ['neu']]",85.7,88.358
Ses01M_script01_3_M008,,xxx,3,3,1.5,"[['sad'], ['neu'], ['oth']]",88.72,102.15
Ses01M_script01_3_F009,,xxx,4,2.5,2,"[['sad'], ['hap'], ['exc', 'oth']]",104.15,109.63
Ses01M_script01_3_M009,,hap,3.5,3.5,2.5,"[['hap'], ['hap'], ['oth']]",111.9467,120.1828
Ses01M_script01_3_M010,,xxx,4.5,3,2.5,"[['exc'], ['hap'], ['exc', 'hap']]",122.3,126.075
Ses01M_script01_3_M011,,xxx,3.5,2.5,2,"[['exc'], ['sad', 'hap'], ['neu']]",126.59,130.94
Ses01M_script01_3_F010,,xxx,4,3,2,"[['exc'], ['hap'], ['oth']]",148.7,150.8
Ses01M_script01_3_M012,,xxx,3.5,3.5,1.5,"[['exc'], ['hap'], ['exc', 'hap']]",132.78,147.95
Ses01M_script01_3_F011,,xxx,4,3,2.5,"[['exc'], ['hap'], ['sur']]",150.83,154.14
Ses01M_script01_3_M013,,xxx,3,3,2,"[['fea'], ['neu'], ['sad']]",156.22,161.5
Ses01M_script01_3_F012,,neu,3.5,2,2,"[['exc'], ['neu'], ['neu']]",161.93,165.3
Ses01M_script01_3_M014,,neu,3,2.5,2,"[['exc'], ['neu'], ['neu']]",165.6682,167.93
Ses01M_script01_3_F013,,xxx,4.5,1.5,2,"[['exc'], ['hap'], ['neu']]",167.8525,170.49
Ses01M_script01_3_M015,,xxx,4.5,3.5,2,"[['exc'], ['hap'], ['exc', 'hap']]",171.1174,174.59
Ses01M_script01_3_F014,,exc,4.5,2,2.5,"[['exc'], ['hap'], ['exc']]",173.63,175.63
Ses01M_script01_3_M016,,exc,4.5,3.5,2,"[['exc'], ['exc', 'hap'], ['exc', 'hap']]",175.33,178.07
Ses01M_script01_3_F015,,exc,4.5,3.5,3.5,"[['exc'], ['hap'], ['exc']]",177.13,185.63
Ses01M_script01_3_M017,,xxx,4.5,3,2.5,"[['exc'], ['hap'], ['exc', 'hap']]",184.65,194.6563
Ses01M_script01_3_M018,,exc,5,3.5,2.5,"[['exc'], ['sur'], ['exc', 'hap']]",197,201.86
Ses01M_script01_3_F016,,hap,4.5,3,2.5,"[['hap'], ['hap'], ['exc']]",200.94,207.645
Ses01M_script01_3_M019,,hap,4.5,2,2.5,"[['hap'], ['hap'], ['hap']]",207.18,210.04
Ses01M_script01_3_F017,,xxx,4,2,2,"[['oth'], ['hap'], ['exc']]",215.88,221.43
Ses01M_script01_3_F018,,sad,2.5,1.5,1.5,"[['sad'], ['sad'], ['oth']]",225.02,227.3023
Ses01M_script01_3_M020,,sad,3,3.5,2,"[['sad'], ['sad'], ['sad']]",228.28,232.23
Ses01M_script01_3_F019,,sad,3,3,2,"[['sad'], ['sad'], ['oth']]",231.36,235.205
Ses01M_script01_3_M021,,sad,2,2.5,2,"[['sad'], ['sad'], ['sad']]",234.59,238.48
Ses01M_script01_3_F020,,xxx,2.5,2.5,2,"[['sad'], ['neu'], ['fru', 'oth']]",236.99,243.44
Ses01M_script01_3_M022,,sad,2,2,2,"[['sad'], ['sad'], ['oth']]",244.14,252.92
Ses01M_script01_3_F021,,sad,2.5,1.5,2.5,"[['sad'], ['sad'], ['neu']]",253.41,256.4398
Ses01M_script01_3_M023,,sad,2,2.5,2.5,"[['sad'], ['sad'], ['oth']]",256.1412,259.1271
Ses01M_script01_3_M024,,sad,2,3,2,"[['sad'], ['sad'], ['oth']]",259.351,263.97
Ses01M_script01_3_F022,,sad,2.5,1.5,2.5,"[['sad'], ['sad'], ['fru']]",265.5717,269.08
Ses01M_script01_3_M025,,sad,2,1.5,2,"[['sad'], ['sad'], ['neu']]",272.34,277.8637
Ses01M_script01_3_F023,,sad,2.5,2,1.5,"[['sad'], ['sad'], ['neu']]",277.23,279.39
Ses01M_script01_3_M026,,sad,2,1.5,1,"[['sad'], ['sad'], ['sad']]",281.14,283.91
Ses01M_script01_3_F024,,sad,2.5,1.5,2,"[['sad'], ['sad'], ['neu']]",285.51,288.34
Ses01M_script01_3_M027,,sad,2,1.5,1.5,"[['sad'], ['sad'], ['sad']]",288.18,291.03
Ses01M_script01_3_F025,,sad,2,1.5,2,"[['sad'], ['sad'], ['sad']]",290.5787,293.79
Ses01M_script01_3_M028,,sad,1.5,2,1.5,"[['sad'], ['sad'], ['sad']]",293.6392,307.49
Ses01M_script01_3_M029,,sad,1.5,2.5,1.5,"[['sad'], ['sad'], ['sad']]",307.7375,320.03
Ses01M_script01_3_M030,,sad,1.5,2,2,"[['sad'], ['hap'], ['sad']]",320.1175,326.5
Ses01M_script01_3_M031,,sad,2,2.5,2.5,"[['sad'], ['sad'], ['sad']]",327.37,337.86
Ses01M_script01_3_M032,,sad,1.5,2,1,"[['sad'], ['sad'], ['sad']]",339.871,363.73
Ses01M_script01_3_M033,,sad,1.5,2,2.5,"[['sad'], ['sad'], ['sad']]",363.865,373.32
Ses01M_script01_3_M034,,sad,1.5,2.5,2,"[['sad'], ['sad'], ['sad']]",374.5675,388.8175
Ses01M_script01_3_M035,,sad,1.5,2.5,1,"[['sad'], ['sad'], ['sad']]",389.0888,397.095
Ses01M_script01_3_M036,,sad,1.5,3,1.5,"[['sad'], ['sad'], ['sad']]",397.3498,405.69
Ses01M_script01_3_M037,,sad,1.5,3.5,2.5,"[['sad'], ['sad'], ['sad']]",406.2,414.26
Ses01M_script01_3_M038,,sad,1.5,2.5,1.5,"[['sad'], ['sad'], ['sad']]",417.29,430.76
Ses01M_script01_3_M039,,sad,1.5,3.5,2.5,"[['sad'], ['sad', 'ang'], ['fru', 'sad']]",431.0408,439.07
Ses01M_script01_3_M040,,sad,1.5,2.5,2.5,"[['sad'], ['sad'], ['fru', 'sad']]",439.48,449.91
Ses01M_script01_3_F026,,sad,2.5,2,2,"[['sad'], ['sad'], ['neu']]",455.26,458.74
Ses01M_script01_3_M041,,sad,2,1.5,2,"[['oth'], ['sad'], ['sad']]",460.4,463.85
Ses01M_script01_3_F027,,xxx,2.5,3,3.5,"[['ang'], ['sad'], ['oth']]",464.0599,472.87
Ses01M_script01_3_F028,,xxx,2.5,3,3,"[['ang'], ['sad'], ['oth']]",473.5225,480.15
Ses01M_script01_3_F029,,xxx,2.5,3,3,"[['fru'], ['sad'], ['oth']]",481.65,495.67
Ses01M_script01_3_M042,,xxx,3.5,2,2,"[['hap'], ['sad'], ['neu']]",499.46,502.27
Ses01M_script01_3_M043,,hap,4,2.5,2.5,"[['hap'], ['hap'], ['neu']]",507.77,511.4612
Ses01M_script01_3_F030,,hap,4,2,2,"[['hap'], ['hap'], ['neu']]",510.69,513.8625
Ses01F_script02_2_M000,,exc,4.5,3.5,2.5,"[['exc'], ['hap'], ['exc']]",3.17,6.2675
Ses01F_script02_2_F000,,neu,3,1.5,2.5,"[['fru'], ['neu'], ['neu']]",5.83,8.3081
Ses01F_script02_2_M001,,exc,4.5,2.5,2,"[['exc'], ['hap'], ['exc']]",7.78,10.22
Ses01F_script02_2_F001,,neu,2.5,2,3,"[['ang'], ['neu'], ['neu']]",9.58,11.4525
Ses01F_script02_2_M002,,neu,3.5,2.5,2,"[['neu'], ['hap'], ['neu']]",10.99,13.4131
Ses01F_script02_2_F002,,xxx,2.5,2.5,2.5,"[['oth'], ['dis'], ['neu']]",13.2797,17.05
Ses01F_script02_2_M003,,xxx,3.5,2.5,3,"[['fru'], ['hap'], ['sur']]",16.41,22.26
Ses01F_script02_2_F003,,xxx,2.5,3.5,3.5,"[['ang'], ['fru'], ['exc']]",21.83,29.71
Ses01F_script02_2_M004,,fru,2.5,3.5,3,"[['fru'], ['fru', 'sur'], ['neu']]",28.94,31.66
Ses01F_script02_2_F004,,xxx,2.5,3.5,2.5,"[['ang'], ['fru', 'dis'], ['exc']]",31.21,43.4739
Ses01F_script02_2_M005,,xxx,3,2.5,2,"[['sur'], ['sad', 'oth'], ['neu']]",42.7835,45.9825
Ses01F_script02_2_F005,,xxx,2.5,2.5,3,"[['ang'], ['dis'], ['exc']]",45.42,49.0894
Ses01F_script02_2_M006,,neu,3,2,1.5,"[['fru'], ['neu'], ['neu']]",49.2,56.09
Ses01F_script02_2_F006,,ang,1.5,4.5,4,"[['ang'], ['ang'], ['fru', 'ang']]",55.67,61.96
Ses01F_script02_2_M007,,fru,3,3,1.5,"[['fru'], ['fru', 'sad', 'sur'], ['oth']]",61.28,63.57
Ses01F_script02_2_F007,,fru,1.5,3.5,3,"[['fru'], ['fru', 'dis'], ['neu']]",63.15,68.86
Ses01F_script02_2_M008,,fru,2.5,3.5,3,"[['fru'], ['fru', 'dis'], ['neu']]",68.34,77.88
Ses01F_script02_2_F008,,ang,1.5,3,3.5,"[['ang'], ['ang'], ['fru']]",75.66,81.6545
Ses01F_script02_2_M009,,fru,2.5,3.5,3,"[['fru'], ['fru'], ['neu']]",81.15,82.7975
Ses01F_script02_2_F009,,ang,2,4,4,"[['ang'], ['ang'], ['fru']]",82.34,86.54
Ses01F_script02_2_M010,,fru,2.5,2.5,3,"[['fru'], ['fru'], ['neu']]",86.15,88.43
Ses01F_script02_2_F010,,ang,2,3.5,3.5,"[['ang'], ['ang'], ['fru']]",87.71,91.3205
Ses01F_script02_2_M011,,fru,3,3,2.5,"[['fru'], ['oth'], ['fru']]",91.5046,94.8877
Ses01F_script02_2_F011,,xxx,2,4,3,"[['ang'], ['dis'], ['fru']]",94.5325,98.8125
Ses01F_script02_2_F012,,fru,1.5,4,3.5,"[['fru'], ['dis', 'ang'], ['fru']]",98.845,111.65
Ses01F_script02_2_M012,,xxx,2.5,3,3,"[['fru'], ['fru', 'oth'], ['oth']]",110.85,113.94
Ses01F_script02_2_F013,,fru,1.5,1.5,2.5,"[['fru'], ['fru', 'oth'], ['fru']]",113.39,115.78
Ses01F_script02_2_M013,,fru,2.5,3.5,2.5,"[['fru'], ['fru'], ['ang']]",115.03,117.2346
Ses01F_script02_2_F014,,xxx,2,3,2.5,"[['fru'], ['sad'], ['neu']]",116.9814,124.0468
Ses01F_script02_2_F015,,sad,1.5,2.5,2.5,"[['sad'], ['sad'], ['neu']]",124.0928,134.59
Ses01F_script02_2_M014,,fru,2.5,2.5,2,"[['fru'], ['fru', 'oth'], ['neu']]",133.66,136.7425
Ses01F_script02_2_F016,,ang,1.5,4.5,4,"[['ang'], ['ang'], ['fru', 'ang']]",136.16,139.33
Ses01F_script02_2_M015,,fru,2.5,2.5,2,"[['fru'], ['oth'], ['fru']]",138.62,144.145
Ses01F_script02_2_M016,,neu,2.5,2.5,2.5,"[['neu'], ['neu'], ['neu']]",144.165,159.8
Ses01F_script02_2_M017,,neu,2.5,2.5,2.5,"[['neu'], ['neu'], ['neu']]",159.8775,165.37
Ses01F_script02_2_F017,,neu,2.5,2,2,"[['neu'], ['sad', 'oth'], ['neu']]",165.72,172.67
Ses01F_script02_2_F018,,xxx,2.5,2,2.5,"[['hap'], ['oth'], ['neu']]",173.92,187.61
Ses01F_script02_2_F019,,hap,3,2.5,2.5,"[['hap'], ['oth', 'hap'], ['hap']]",187.8883,204.1594
Ses01F_script02_2_M018,,xxx,3,2.5,3,"[['exc'], ['oth'], ['neu']]",203.59,206.9211
Ses01F_script02_2_F020,,xxx,3.5,2.5,2,"[['hap'], ['oth'], ['neu']]",206.42,209.26
Ses01F_script02_2_M019,,neu,3,3,2.5,"[['fru'], ['neu'], ['neu']]",211.34,221.895
Ses01F_script02_2_F021,,fru,3.5,2.5,2,"[['fru'], ['fru'], ['fru']]",209.29,211.95
Ses01F_script02_2_M020,,fru,2.5,2.5,2,"[['fru'], ['fru'], ['neu']]",221.9724,227.68
Ses01F_script02_2_F022,,sad,2,1.5,2.5,"[['sad'], ['sad', 'oth'], ['sad']]",227.2196,233.5946
Ses01F_script02_2_M021,,neu,3,2.5,1.5,"[['fru'], ['neu'], ['neu']]",232.88,237.9673
Ses01F_script02_2_M022,,neu,3.5,2.5,1.5,"[['hap'], ['neu'], ['neu']]",238.0133,243.3756
Ses01F_script02_2_F023,,neu,2,1.5,2.5,"[['sad'], ['neu'], ['neu']]",243.1455,245.4699
Ses01F_script02_2_M023,,neu,3.5,2.5,2,"[['hap'], ['neu'], ['neu']]",244.92,247.88
Ses01F_script02_2_F024,,xxx,4,2,2,"[['sad'], ['hap'], ['neu']]",247.4089,249.0832
Ses01F_script02_2_M024,,hap,4,2.5,2,"[['hap'], ['hap'], ['neu']]",249.09,250.92
Ses01F_script02_2_F025,,fru,4,2,2.5,"[['fru'], ['neu'], ['fru']]",250.14,253.9225
Ses01F_script02_2_M025,,xxx,2.5,3,2,"[['fru'], ['hap'], ['neu']]",251.89,253.4098
Ses01F_script02_2_M026,,hap,3.5,2.5,1.5,"[['hap'], ['hap'], ['neu']]",256.83,260.8204
Ses01F_script02_2_F026,,neu,4,1.5,3,"[['neu'], ['hap'], ['neu']]",260.2214,262.0632
Ses01F_script02_2_M027,,oth,2.5,2.5,1.5,"[['fru'], ['oth', 'hap'], ['oth']]",261.75,266.7811
Ses01F_script02_2_M028,,xxx,2.5,3,2.5,"[['fru'], ['neu'], ['oth']]",267.0343,269.5888
