speaker,utt_id,utterance,emotion,sentiment,eda1,eda2,eda3,eda4,eda5,EDA,all_match,con_match,match
b'Ses01M_impro07_M',016,b'',xxx,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',017,b'',hap,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_F',022,b'',exc,,qw,qy,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',018,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',023,b'',exc,,sv,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_impro07_M',019,b'',hap,,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_impro07_F',024,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',020,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',025,b'',exc,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',021,b'',sur,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',026,b'',exc,,sd,sd,sd,na,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',022,b'',sur,,qy,qy,qy,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_impro07_M',023,b'',xxx,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_F',027,b'',exc,,sv,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_M',024,b'',exc,,sd,sd,sd,^q,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_impro07_M',025,b'',xxx,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_impro07_F',028,b'',xxx,,qy,qy,qy,qy,b,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_M',026,b'',neu,,sd,sv,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_impro07_F',029,b'',xxx,,qw,qy,qo,qy,qw,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',027,b'',xxx,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_M',028,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',030,b'',xxx,,bh,bh,bh,bh,b,bh,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_F',031,b'',xxx,,sv,sv,bf,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_impro07_M',029,b'',xxx,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_F',032,b'',xxx,,ba,ba,b,ba,b,b,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses01M_impro07_M',030,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_F',033,b'',hap,,qy,qy^d,qy^d,qy^d,qy,qy^d,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_impro07_M',031,b'',xxx,,b,b,ny,ny,ny,ny,AllNotMatch,ConMatch,NotMatch
b'Ses01M_impro07_F',034,b'',hap,,sd,sd,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_impro07_M',032,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_impro07_M',033,b'',hap,,ad,^2,bf,b^m,ad,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',000,b'',neu,,br,ad,ad,fa,ba,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',000,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',001,b'',neu,,b,b,ny,ny,ny,ny,AllNotMatch,ConMatch,NotMatch
b'Ses01F_impro01_M',001,b'',fru,,ad,sd,ad,^h,ad,ad,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_impro01_F',002,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',002,b'',fru,,qw,qy,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_impro01_F',003,b'',xxx,,sd,aa,ng,sv,sd,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',004,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',003,b'',fru,,sd,sd,sd,ad,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_impro01_F',005,b'',neu,,qw,qy,ad,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_impro01_M',004,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',005,b'',fru,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_impro01_F',006,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',006,b'',fru,,sd,sd,ad,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_impro01_F',007,b'',fru,,sd,qh,^q,qh,qw,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',007,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',008,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',008,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',009,b'',fru,,qw,qy,qw,qy,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_impro01_M',009,b'',fru,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',010,b'',xxx,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',011,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',010,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',012,b'',ang,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_impro01_M',011,b'',ang,,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_impro01_F',013,b'',fru,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',012,b'',xxx,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_impro01_F',014,b'',neu,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_M',013,b'',ang,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_impro01_F',015,b'',fru,,sd,ba,sd,no,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_F',000,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',000,b'',hap,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',001,b'',neu,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',002,b'',xxx,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_M',001,b'',hap,,qy^d,qy,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_F',003,b'',sad,,sd,sd,sd,ng,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_M',002,b'',sad,,qw,qh,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script01_3_F',004,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',003,b'',xxx,,b,sd,b,fc,b,b,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_F',005,b'',sad,,sv,sv,sd,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script01_3_M',004,b'',neu,,br,br,br,qw,br,br,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_F',006,b'',sad,,sd,qy^d,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script01_3_M',005,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',007,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',006,b'',neu,,bh,qy,qy^d,qy,br,qy,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses01M_script01_3_F',008,b'',neu,,qw,qy,qw,qh,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_M',007,b'',neu,,b,aa,%,sd,x,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',008,b'',xxx,,sv,qy,qy^d,sv,sv,sv,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script01_3_F',009,b'',xxx,,sd,sd,sd,na,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_M',009,b'',hap,,sd,fc,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_M',010,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',011,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',010,b'',xxx,,qy,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_M',012,b'',xxx,,sd,fa,^q,qy,sd,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',011,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',013,b'',xxx,,qy,sv,qy,sd,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',012,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',014,b'',neu,,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_F',013,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',015,b'',xxx,,qy,qy,qy^d,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script01_3_F',014,b'',exc,,sd,sd,na,sv,sd,sd,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01M_script01_3_M',016,b'',exc,,qw,qh,qw,qh,qw,qw,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_F',015,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',017,b'',xxx,,^q,ad,ad,^q,ad,ad,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_M',018,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',016,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',019,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',017,b'',xxx,,qy^d,sd,sd,sd,fc,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script01_3_F',018,b'',sad,,qw,qw,qw,qw,qw,qw,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',020,b'',sad,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',019,b'',sad,,qw,qy,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_M',021,b'',sad,,sv,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script01_3_F',020,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',022,b'',sad,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script01_3_F',021,b'',sad,,sd,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_M',023,b'',sad,,h,sd,h,sd,h,h,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_M',024,b'',sad,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01M_script01_3_F',022,b'',sad,,^2,sv,sv,qy,bf,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',025,b'',sad,,qy,qy^d,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_F',023,b'',sad,,b,aa,na,ny,ny,ny,AllNotMatch,ConMatch_eda5_eda4_con,NotMatch
b'Ses01M_script01_3_M',026,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',024,b'',sad,,qw,qw,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script01_3_M',027,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',025,b'',sad,,sv,sd,ba,sd,ba,ba,AllNotMatch,ConMatch_eda5_eda3_con,NotMatch
b'Ses01M_script01_3_M',028,b'',sad,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',029,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',030,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',031,b'',sad,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01M_script01_3_M',032,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',033,b'',sad,,sv,sv,sv,sd,ba,sv,AllNotMatch,NotConMatch,ConfMatchFirst123
b'Ses01M_script01_3_M',034,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',035,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',036,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',037,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',038,b'',sad,,sv,sv,sv,sv,sd,sv,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script01_3_M',039,b'',sad,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',040,b'',sad,,sd,sd,sd,sd,sv,sd,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01M_script01_3_F',026,b'',sad,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',041,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',027,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',028,b'',xxx,,qy,qy,ad,qy,qy,qy,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01M_script01_3_F',029,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',042,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_M',043,b'',hap,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01M_script01_3_F',030,b'',hap,,qw,qh,qw,qw,qw,qw,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_2_M',000,b'',exc,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',000,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',001,b'',exc,,qw,qo,qo,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_2_F',001,b'',neu,,br,br,qw,qw,br,qw,AllNotMatch,ConMatch_eda4_eda3_con,NotMatch
b'Ses01F_script02_2_M',002,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',002,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',003,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',003,b'',xxx,,sv,sv,sv,sv,sv,sv,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',004,b'',fru,,sd,sd,sv,sv,sv,sv,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_2_F',004,b'',xxx,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_2_M',005,b'',xxx,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',005,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',006,b'',neu,,qy,ad,qy,qy,qy,qy,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_2_F',006,b'',ang,,sd,ad,ad,sd,sv,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',007,b'',fru,,qw,qw,^q,qw,qw,qw,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_2_F',007,b'',fru,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_2_M',008,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',008,b'',ang,,sd,sd,sd,^2,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_2_M',009,b'',fru,,qw,qh,qo,qw,bh,qw,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses01F_script02_2_F',009,b'',ang,,qy,qy,qy,qy,qy,qy,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',010,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',010,b'',ang,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',011,b'',fru,,sd,sv,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_2_F',011,b'',xxx,,sv,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_2_F',012,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',012,b'',xxx,,sv,sd,sd,sd,sd,sd,AllNotMatch,ConMatch,NotMatch
b'Ses01F_script02_2_F',013,b'',fru,,sv,sd,sd,sv,sd,sd,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_2_M',013,b'',fru,,aa,aa,sd,sv,aa,aa,AllNotMatch,NotConMatch,ConfMatchOnlyTwo12
b'Ses01F_script02_2_F',014,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',015,b'',sad,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',014,b'',fru,,sd,sd,sv,sd,sd,sd,AllNotMatch,ConMatch_eda5_eda4_strong,NotMatch
b'Ses01F_script02_2_F',016,b'',ang,,sv,sv,sv,sd,sv,sv,AllNotMatch,ConMatch_eda5_eda3_strong,NotMatch
b'Ses01F_script02_2_M',015,b'',fru,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',016,b'',neu,,sd,sd,ad,sd,fc,xx,AllNotMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_M',017,b'',neu,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
b'Ses01F_script02_2_F',017,b'',neu,,qy,qy^d,qy,qy,sd,qy,AllNotMatch,ConMatch_eda4_eda3_strong,NotMatch
b'Ses01F_script02_2_F',018,b'',xxx,,sd,sd,sd,sd,sd,sd,AllMatch,NotConMatch,NotMatch
